"true_psi";"true_p11";"true_p10";"rel_psi";"rel_p11";"rel_p10";"converged";"estim_sd_lpsi";"estim_sd_lp11";"biais.psi";"error.psi";"BCI_cover.psi";"BCI_width.psi";"mse.psi";"rmse.psi";"biais.p11";"error.p11";"BCI_cover.p11";"BCI_width.p11";"mse.p11";"rmse.p11"
0.1;0.7;0;0.0955;0.68411867364747;0;100;0.395;0.355;-0.004;0.011;91;0.042;0;0.013;0.005;0.029;93;0.116;0.001;0.034
0.1;0.7;0.01;0.095;0.63859649122807;0.00957642725598527;100;0.288;0.433;0.034;0.012;17;0.047;0.001;0.037;-0.117;0.035;3;0.137;0.037;0.192
0.1;0.7;0.02;0.0995;0.718592964824121;0.022580048121414;100;0.21;0.426;0.074;0.013;0;0.051;0.006;0.08;-0.194;0.034;0;0.133;0.037;0.193
0.1;0.7;0.05;0.084;0.636904761904762;0.0458515283842795;100;0.147;0.353;0.196;0.017;0;0.067;0.04;0.199;-0.315;0.027;0;0.106;0.145;0.38
0.1;0.9;0;0.078;0.886752136752137;0;100;0.397;1.22;-0.003;0.011;95;0.043;0.001;0.029;0.013;0.026;89;0.098;0.001;0.038
0.1;0.9;0.01;0.0895;0.895716945996276;0.0104338275672707;100;0.296;0.712;0.028;0.011;26;0.044;0.001;0.023;-0.138;0.035;0;0.139;0.028;0.168
0.1;0.9;0.02;0.1125;0.882962962962963;0.0208450704225352;100;0.201;0.615;0.061;0.011;0;0.045;0.006;0.076;-0.238;0.037;0;0.147;0.058;0.242
0.1;0.9;0.05;0.12;0.872222222222222;0.0517045454545455;100;0.138;0.48;0.162;0.014;0;0.055;0.037;0.192;-0.391;0.033;0;0.129;0.149;0.386
0.3;0.7;0;0.314;0.68099787685775;0;100;0.548;0.363;-0.009;0.028;97;0.109;0.001;0.025;0.002;0.022;95;0.087;0.001;0.024
0.3;0.7;0.01;0.325;0.72;0.00938271604938272;100;0.504;0.363;0.017;0.027;87;0.107;0.002;0.048;-0.033;0.023;73;0.091;0;0.016
0.3;0.7;0.02;0.295;0.732203389830508;0.0198581560283688;100;0.456;0.364;0.048;0.026;51;0.104;0.002;0.048;-0.063;0.024;24;0.094;0.002;0.042
0.3;0.7;0.05;0.2585;0.7143778207608;0.0496740840638346;100;0.336;0.426;0.128;0.023;0;0.092;0.008;0.09;-0.139;0.028;0;0.109;0.019;0.136
0.3;0.9;0;0.307;0.893051031487514;0;100;0.558;1.4;-0.007;0.028;97;0.112;0.001;0.029;0.021;0.024;86;0.089;0.001;0.029
0.3;0.9;0.01;0.2965;0.872962338392355;0.00923951670220327;100;0.5;0.904;0.014;0.027;89;0.105;0.001;0.024;-0.034;0.025;74;0.099;0.003;0.053
0.3;0.9;0.02;0.3345;0.843547583457897;0.0180315552216379;100;0.464;0.744;0.038;0.026;70;0.103;0.005;0.073;-0.073;0.026;15;0.102;0.008;0.09
0.3;0.9;0.05;0.274;0.886861313868613;0.0525711662075298;100;0.37;0.608;0.111;0.024;0;0.093;0.009;0.092;-0.16;0.029;0;0.112;0.033;0.181
0.5;0.7;0;0.4435;0.692596768132281;0;100;0.821;0.379;0.001;0.047;93;0.185;0.005;0.069;0.004;0.021;97;0.082;0;0.017
0.5;0.7;0.01;0.5835;0.709511568123393;0.00960384153661465;100;0.784;0.356;0.015;0.045;96;0.178;0.016;0.127;-0.014;0.021;93;0.081;0;0.022
0.5;0.7;0.02;0.5535;0.701294790725685;0.0313549832026876;100;0.766;0.365;0.049;0.044;83;0.174;0.02;0.142;-0.031;0.021;75;0.084;0.003;0.051
0.5;0.7;0.05;0.4505;0.688494265630781;0.0467091295116773;100;0.682;0.401;0.095;0.039;37;0.154;0.005;0.073;-0.07;0.024;16;0.094;0.007;0.082
0.5;0.9;0;0.5395;0.881680568427556;0;100;0.825;1.524;-0.003;0.047;96;0.186;0.003;0.054;0.02;0.026;87;0.094;0.002;0.045
0.5;0.9;0.01;0.4255;0.872698785742264;0.00928343487090223;100;0.805;1.051;0.018;0.046;95;0.182;0.005;0.069;-0.009;0.024;98;0.092;0.001;0.034
0.5;0.9;0.02;0.53;0.894654088050314;0.0152482269503546;100;0.771;0.933;0.04;0.044;87;0.174;0.006;0.075;-0.031;0.025;78;0.096;0.001;0.025
0.5;0.9;0.05;0.518;0.885456885456886;0.0463347164591978;100;0.669;0.783;0.082;0.038;44;0.151;0.014;0.119;-0.075;0.027;11;0.104;0.007;0.082
